1	100	1	100	38
1	100	2	100	24
1	100	3	100	24
1	100	4	100	23
1	100	5	100	25
1	200	1	200	51
1	200	2	200	51
1	200	3	200	53
1	200	4	200	49
1	200	5	200	52
1	500	1	500	134
1	500	2	500	169
1	500	3	500	154
1	500	4	500	144
1	500	5	500	161
1	1000	1	1000	281
1	1000	2	1000	280
1	1000	3	1000	281
1	1000	4	1000	278
1	1000	5	1000	279
1	5000	1	5000	1559
1	5000	2	5000	1870
1	5000	3	5000	1575
1	5000	4	5000	1571
1	5000	5	5000	1560
1	10000	1	10000	3281
1	10000	2	10000	3352
1	10000	3	10000	4360
1	10000	4	10000	3316
1	10000	5	10000	3320
1	20000	1	20000	7025
1	20000	2	20000	7138
1	20000	3	20000	6970
1	20000	4	20000	7005
1	20000	5	20000	7089
1	50000	1	50000	19075
1	50000	2	50000	19049
1	50000	3	50000	19135
1	50000	4	50000	19887
1	50000	5	50000	19603
2	100	1	100	34
2	100	2	100	30
2	100	3	100	28
2	100	4	100	29
2	100	5	100	53
2	200	1	200	53
2	200	2	200	58
2	200	3	200	71
2	200	4	200	65
2	200	5	200	62
2	500	1	500	137
2	500	2	500	148
2	500	3	500	134
2	500	4	500	134
2	500	5	500	164
2	1000	1	1000	320
2	1000	2	1000	281
2	1000	3	1000	281
2	1000	4	1000	283
2	1000	5	1000	282
2	5000	1	5000	1600
2	5000	2	5000	1564
2	5000	3	5000	1583
2	5000	4	5000	1565
2	5000	5	5000	1783
2	10000	1	10000	3302
2	10000	2	10000	3664
2	10000	3	10000	4452
2	10000	4	10000	3341
2	10000	5	10000	3602
2	20000	1	20000	8028
2	20000	2	20000	7546
2	20000	3	20000	7184
2	20000	4	20000	7087
2	20000	5	20000	7121
2	50000	1	50000	19408
2	50000	2	50000	19312
2	50000	3	50000	19239
2	50000	4	50000	20475
2	50000	5	50000	19423
3	100	1	100	63
3	100	2	100	41
3	100	3	100	30
3	100	4	100	28
3	100	5	100	31
3	200	1	200	56
3	200	2	200	87
3	200	3	200	71
3	200	4	200	82
3	200	5	200	52
3	500	1	500	137
3	500	2	500	135
3	500	3	500	141
3	500	4	500	135
3	500	5	500	135
3	1000	1	1000	344
3	1000	2	1000	320
3	1000	3	1000	297
3	1000	4	1000	293
3	1000	5	1000	283
3	5000	1	5000	1565
3	5000	2	5000	1592
3	5000	3	5000	1571
3	5000	4	5000	1582
3	5000	5	5000	1681
3	10000	1	10000	3319
3	10000	2	10000	3429
3	10000	3	10000	4218
3	10000	4	10000	3293
3	10000	5	10000	3684
3	20000	1	20000	7047
3	20000	2	20000	7274
3	20000	3	20000	7080
3	20000	4	20000	7054
3	20000	5	20000	7121
3	50000	1	50000	19282
3	50000	2	50000	20305
3	50000	3	50000	19659
3	50000	4	50000	19833
3	50000	5	50000	19319
4	100	1	100	27
4	100	2	100	29
4	100	3	100	28
4	100	4	100	29
4	100	5	100	28
4	200	1	200	69
